Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Chicken pulao,10294,Others,Mains,108.24,11.17,6.07,8.48,1.64,72.64,32.25,79.36,24.8,3093.47,170.81,0.98,0.11,1.78,0.49,0.51,12.17,1.1,0,1.89,5.79,0.05,0.04,1.12,0.26,0.09,5.79,0.67,Indian Nutrient Databank (INDB)
Plain khitchdi (Plain khichri/khichdi),10295,Others,Mains,57.03,10.04,1.72,1.01,0.85,86.38,5.05,30.71,9.97,37.14,69.32,0.31,0.07,1.88,0.16,0.22,8.03,0.07,0,1.92,4.56,0.03,0.01,0.34,0.12,0.03,4.56,0.14,Indian Nutrient Databank (INDB)
Instant idli (with semolina),10296,Others,Mains,247.29,43.4,9.16,3.61,7.13,36.7,93.2,136.84,42.92,1504.66,348.78,2.31,0.31,8.54,1.25,1.56,7.94,1.14,0,15.03,25.74,0.21,0.13,0.99,0.65,0.12,25.74,0.4,Indian Nutrient Databank (INDB)
Plain dosa,10297,Others,Mains,380.91,64.08,10.34,8.43,5.23,11.92,19.35,178.4,55.44,142.98,344.39,1.5,0.32,5.84,0.86,1.39,89.5,0.27,0,3.46,25.35,0.16,0.07,2.11,1,0.2,25.35,0,Indian Nutrient Databank (INDB)
Masala dosa mixed vegetable fillings,10298,Others,Mains,144.53,23.02,4.84,3.26,4.31,64.57,31.79,82.16,36.14,122.08,329.75,1.21,0.17,2.62,0.47,0.72,23.32,0.55,0,17.83,32.21,0.11,0.04,1.04,0.59,0.15,32.21,18.77,Indian Nutrient Databank (INDB)
Masala dosa paneer fillings,10299,Others,Mains,243.12,29.76,10.31,8.84,3.11,47.98,171.23,180.53,39.72,160.4,226.69,1.27,0.19,10.14,0.51,1.48,32.77,0.69,0,11.26,47.77,0.08,0.07,0.99,0.62,0.13,47.77,5.83,Indian Nutrient Databank (INDB)
Uttapam,10300,Others,Mains,255.95,36.28,6.18,9.03,4.4,44.11,40.86,109.53,41.71,228.69,286.22,1.23,0.21,3.76,0.57,0.86,47.52,2.42,0,25.36,27.96,0.1,0.05,1.29,0.64,0.17,27.96,9.04,Indian Nutrient Databank (INDB)
Appam,10301,Others,Mains,267.7,13.28,3.12,22.63,6.19,54.78,6.36,55.2,23.3,26.59,161.42,0.83,0.23,0.25,0.51,0.46,0,1.49,0,12.83,18.05,0.04,0.06,0.52,0.18,0.08,18.05,1.68,Indian Nutrient Databank (INDB)
Sour lentils (Khatti dal),10302,Others,Mains,34.79,6.04,2.22,0.12,1.22,90.4,8.29,30.74,9.99,115.6,98.52,0.85,0.1,4.15,0.18,0.34,0,0.02,0,1.1,6.2,0.04,0.02,0.22,0.14,0.03,6.2,0.52,Indian Nutrient Databank (INDB)
Urad special dehusked,10303,Others,Mains,69.43,8.86,3.14,2.17,2.5,83.33,16.4,55.69,28.53,109.56,233.34,0.83,0.11,2.78,0.38,0.46,17.32,0.17,0,4.97,20.46,0.04,0.02,0.37,0.43,0.07,20.46,6.54,Indian Nutrient Databank (INDB)
Arhar with spinach (Arhar dal aur palak),10304,Others,Mains,52.84,4.77,2.05,2.76,1.3,89.12,21.81,32.58,23.79,109.97,205.61,0.89,0.12,1.35,0.31,0.29,22.86,0.33,0,44.78,26.26,0.06,0.02,0.24,0.13,0.05,26.26,4.66,Indian Nutrient Databank (INDB)
Moong dal with vadi,10305,Others,Mains,24.08,1,0.4,2.05,0.39,96.16,2.99,6.77,3.98,112.36,33.66,0.18,0.02,0.03,0.1,0.06,17.81,0.16,0,1.95,3.18,0.01,0.01,0.07,0.03,0.02,3.18,2.81,Indian Nutrient Databank (INDB)
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),10306,Beverages,Beverages,26.74,3.37,1.13,0.88,1.6,93.02,16.56,21.12,14.66,104.11,130.66,0.59,0.07,0.97,0.18,0.17,0,0.33,0,13,7.36,0.03,0.02,0.29,0.08,0.04,7.36,4.43,Indian Nutrient Databank (INDB)
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),10307,Beverages,Beverages,24.41,2.85,1.11,0.87,1.54,93.63,15.56,20.21,13.98,102.77,124.52,0.52,0.07,0.96,0.17,0.16,0,0.33,0,12.84,7.33,0.03,0.02,0.27,0.08,0.04,7.33,5,Indian Nutrient Databank (INDB)
Green gram whole with baghar (Sabut moong dal with tadka),10308,Others,Mains,63.43,6.8,3.23,2.48,3.02,84.47,25.04,52.02,32.57,181.69,192.66,1,0.15,3.19,0.53,0.42,20.42,0.2,0,3.92,20.06,0.07,0.04,0.34,0.28,0.06,20.06,0.21,Indian Nutrient Databank (INDB)
Urad sabut special,10309,Others,Mains,79.39,5.03,2.33,5.46,2.15,85.03,21.45,42.63,20.55,60.09,160.47,0.71,0.08,2.51,0.31,0.33,52.57,0.36,0,8.24,18.22,0.04,0.03,0.32,0.35,0.07,18.22,6.44,Indian Nutrient Databank (INDB)
Kabuli channa curry,10310,Others,Curries (Gravy & Dry),68.57,7.63,2.92,3.06,1.12,85.27,32.03,46.28,23.41,122.05,190,0.95,0.14,0.36,0.68,0.44,0.39,1.49,0,8.48,26.18,0.06,0.04,0.36,0.26,0.09,26.18,4.56,Indian Nutrient Databank (INDB)
Besan gatte curry,10311,Others,Curries (Gravy & Dry),189.38,16.26,7.75,10.72,3.25,62.02,151.08,128.59,37.09,356.27,274.59,1.89,0.13,3.22,0.81,0.89,7.12,4.19,0,11.94,52.81,0.12,0.12,0.68,0.46,0.15,52.81,5.24,Indian Nutrient Databank (INDB)
Dry masala chops,10312,Others,Sides,135.07,3.3,9.08,9.54,0.86,77.22,112.25,103.52,10.66,83.47,219.97,1.39,0.03,0.54,0.34,0.23,5.69,1.7,0,4.54,10.29,0.09,0.12,2.89,0.16,0.05,10.29,1.27,Indian Nutrient Databank (INDB)
Mutton korma,10313,Others,Curries (Gravy & Dry),115.64,2.53,7.09,8.54,0.78,81.06,79.07,75.78,8.63,56.94,165.87,1.09,0.03,0.25,0.16,0.16,18.17,1.4,0,3.19,8.68,0.07,0.08,2.32,0.12,0.03,8.68,1.51,Indian Nutrient Databank (INDB)
Shahi keema kofta curry,10314,Others,Curries (Gravy & Dry),418.13,1.73,4.14,43.83,0.91,49.39,14.51,46.65,12.06,104.53,119.63,0.67,0.05,0.49,0.26,0.78,0.97,20.27,0,7.58,5.6,0.04,0.04,1.05,0.24,0.07,5.6,3.4,Indian Nutrient Databank (INDB)
Minced meat ball curry,10315,Others,Curries (Gravy & Dry),109.79,2.86,6.82,7.85,1.49,80.98,23.84,75.9,18.97,170.06,194.09,1.01,0.08,0.82,0.47,1.28,1.61,1.73,0,8.52,9.08,0.06,0.07,1.72,0.39,0.11,9.08,5.53,Indian Nutrient Databank (INDB)
Boti kebab,10316,Others,Snacks,132.86,3.06,9.22,9.27,0.76,77.69,98.67,95.61,9.99,78.14,221.64,1.41,0.03,0.53,0.19,0.18,3.07,1.47,0,2.18,12.03,0.1,0.1,3.11,0.15,0.05,12.03,8.26,Indian Nutrient Databank (INDB)
Mutton seekh kebab,10317,Others,Snacks,133.94,3.11,11.25,8.43,1.88,75.33,117.44,105.95,19.83,102.17,269.59,2.19,0.08,0.51,0.5,0.23,0,0.22,0,8.27,11.78,0.13,0.09,3.96,0.1,0.04,11.78,8.82,Indian Nutrient Databank (INDB)
Indian lamb and egg curry (Nargisi kofta),10318,Others,Curries (Gravy & Dry),335.75,2.07,3.84,34.7,0.6,58.79,12.91,47.06,8.06,57.44,85.8,0.55,0.04,4.18,0.11,0.56,25.09,15.96,0.08,4.01,11.35,0.03,0.05,0.6,0.3,0.06,11.35,1.96,Indian Nutrient Databank (INDB)
Soya chunks sweet and sour (Nutrinugget sweet and sour),10319,Others,Curries (Gravy & Dry),500.94,3.27,2.85,55.99,0.86,37.03,13.89,41.68,11.23,2257.67,111.45,0.7,0.04,1.31,0.16,0.17,12.18,26.18,0.07,6.48,8.79,0.02,0.01,0.16,0.13,0.04,8.79,8.19,Indian Nutrient Databank (INDB)
Soya chunks korma (Nutrinugget korma),10320,Others,Curries (Gravy & Dry),131.43,7.67,3.86,9.5,2.57,76.4,89.7,94.03,33.57,148.98,252.27,1.18,0.15,1.46,0.81,0.62,8.44,3.27,0,8.58,19.98,0.06,0.1,0.33,0.33,0.12,19.98,4.66,Indian Nutrient Databank (INDB)
Mushroom matar,10321,Others,Curries (Gravy & Dry),70.77,5.33,2.79,4.11,3.13,84.64,21.42,42.27,21.71,61.63,214.87,0.81,0.1,0.4,0.56,0.37,0,2,0,21.21,20.57,0.07,0.02,0.61,0.33,0.11,20.57,14.89,Indian Nutrient Databank (INDB)
Soya chunks and peas (Nutrinugget matar),10322,Others,Curries (Gravy & Dry),82.62,5.82,3.03,5.11,2.86,83.18,20.32,34.93,22.75,70.97,173.49,0.99,0.11,0.47,0.66,0.45,0,2.44,0,21.66,23.37,0.09,0.02,0.54,0.28,0.1,23.37,17.56,Indian Nutrient Databank (INDB)
Vegetable yakhni,10323,Others,Curries (Gravy & Dry),406.06,1.94,1.18,43.8,0.61,52.47,43.67,34.3,7.8,38.05,82.8,0.24,0.02,0.72,0.19,0.17,4.88,20.61,0,3.83,10.6,0.02,0.05,0.08,0.19,0.02,10.6,0.95,Indian Nutrient Databank (INDB)
Spinach mushroom (Palak mushroom),10324,Others,Curries (Gravy & Dry),47.63,2.95,1.94,2.96,2.27,89.88,49.75,35.93,52.12,70.97,416.07,1.69,0.12,1.1,0.7,0.32,12.99,1.4,0,172.25,78.93,0.1,0.06,0.39,0.24,0.12,78.93,20.4,Indian Nutrient Databank (INDB)
Vegetarian nargisi kofta curry,10325,Others,Curries (Gravy & Dry),332.15,6.58,2.29,32.94,0.86,57.33,47.09,42.55,11.15,73.56,147.7,0.38,0.05,2.1,0.14,0.34,5.47,15.47,0,5.44,14.52,0.03,0.02,0.33,0.16,0.04,14.52,6.83,Indian Nutrient Databank (INDB)
Shahi chicken masala,10326,Others,Curries (Gravy & Dry),163.7,4.07,9.82,12.02,0.96,73.13,82.68,124.15,21.76,142.56,230.91,0.89,0.14,10.48,0.24,0.63,20.26,2.99,0.47,5.54,18.74,0.06,0.06,2.95,0.53,0.22,18.74,2.84,Indian Nutrient Databank (INDB)
Tomato chicken,10327,Others,Curries (Gravy & Dry),111.68,2.13,10.57,6.71,1.42,79.17,21.24,95.13,21.29,104.83,252.17,0.87,0.17,8.49,0.18,0.48,3.16,1.37,0.63,15.68,13.73,0.07,0.05,3.96,0.63,0.3,13.73,13.91,Indian Nutrient Databank (INDB)
Broccoli chicken ala king,10328,Others,Curries (Gravy & Dry),119.56,5.34,7.97,7.57,1.92,77.2,73.36,111.25,19.27,104.01,297.25,0.78,0.1,4.72,0.16,0.67,61.75,0.92,0.29,78.7,44.67,0.1,0.14,2.12,0.68,0.19,44.67,33.8,Indian Nutrient Databank (INDB)
Ginger chicken,10329,Others,Curries (Gravy & Dry),129.17,5.6,8.24,8.24,1.21,76.71,18.41,76.28,19.98,365.86,228.87,0.96,0.13,6.84,0.4,0.4,2.18,2.69,0.48,6.49,16.75,0.05,0.04,2.83,0.55,0.23,16.75,13.01,Indian Nutrient Databank (INDB)
Chicken sweet and sour,10330,Others,Curries (Gravy & Dry),445.09,2.67,6.92,47.59,0.58,42.24,21.98,77.46,13.05,1809.94,153.46,0.93,0.09,5.04,0.12,0.37,11.5,21.55,0.35,5.33,8.92,0.03,0.02,1.85,0.35,0.14,8.92,6.73,Indian Nutrient Databank (INDB)
Chicken korma,10331,Others,Curries (Gravy & Dry),147.96,5.43,9.83,9.67,1.82,73.25,68.66,123.22,29.57,119.21,277.53,1.06,0.19,7.46,0.57,0.68,8.46,2.39,0.48,6.06,16.96,0.07,0.09,3.02,0.63,0.26,16.96,2.89,Indian Nutrient Databank (INDB)
Bengal fish curry (Bengali machli curry),10332,Others,Curries (Gravy & Dry),109.43,4.42,7.26,7.03,1.93,79.36,44.44,95.07,27.62,76.38,207.98,0.85,0.08,9.85,0.87,0.44,11.12,0.46,0.2,7.87,14.96,0.04,0.03,0.66,0.5,0.09,14.96,3.02,Indian Nutrient Databank (INDB)
Fish finger,10333,Others,Snacks,542.9,4.47,5.66,55.82,0.34,33.71,11.38,67.87,12.17,103.55,135.39,0.38,0.04,9.15,0.05,0.26,17.99,27.01,0.18,3.73,7.85,0.03,0.02,0.5,0.39,0.06,7.85,3.18,Indian Nutrient Databank (INDB)
Fish in coconut milk (Nariyal ke doodh ke saath machli),10334,Others,Curries (Gravy & Dry),86.21,2.73,8.66,4.43,1.52,82.66,21.94,99.28,23.46,73.93,190.38,0.91,0.1,23.8,0.24,0.38,6.02,1.07,0.08,6.82,11.67,0.04,0.05,1.11,0.59,0.08,11.67,3.29,Indian Nutrient Databank (INDB)
Prawn curry (with coconut) (Jhinga curry),10335,Others,Curries (Gravy & Dry),109.55,3.1,8.54,6.93,1.56,79.87,37.25,115.45,35.67,375.86,150.65,0.96,0.23,25.13,0.18,0.72,0.65,3.54,0.62,7.49,15.25,0.02,0.03,0.66,0.95,0.09,15.25,1.3,Indian Nutrient Databank (INDB)
Baked stuffed fish,10336,Others,Mains,121.96,2.12,16.14,5.43,0.38,75.93,18.8,182,29.35,74.36,242.97,0.35,0.06,24.39,0.05,0.48,37.5,1.08,0.5,2.59,11.02,0.05,0.03,1.25,0.95,0.12,11.02,2.14,Indian Nutrient Databank (INDB)
Crispy baked fish,10337,Others,Sides,138.4,9.59,10.95,6.41,1.21,71.84,60.04,147.43,24.23,192.42,208.73,0.55,0.07,14.37,0.15,0.51,56.78,0.7,0.27,8.22,16.53,0.07,0.04,1.03,0.6,0.1,16.53,6,Indian Nutrient Databank (INDB)
Potato curry (Aloo ki sabzi),10338,Others,Curries (Gravy & Dry),89.56,10.42,1.52,4.47,2.42,81.17,23.74,38.19,25.3,78.4,383.45,0.97,0.1,0.51,0.28,0.31,0,2.08,0,12.09,17.65,0.05,0.02,0.76,0.31,0.1,17.65,20.92,Indian Nutrient Databank (INDB)
Egg curry (Anda curry),10339,Others,Curries (Gravy & Dry),117.52,4.03,5.38,8.81,2.09,79.69,41.59,83.17,21.72,142.12,198.53,1.52,0.1,13.53,0.29,0.63,65.32,3.22,0.28,14.68,29.51,0.05,0.08,0.37,0.64,0.12,29.51,12.55,Indian Nutrient Databank (INDB)
Vegetable curry with coconut ,10340,Others,Curries (Gravy & Dry),83.07,7.19,2.77,4.66,3.35,82.03,19.63,33.58,23.16,43.4,215.47,0.95,0.12,0.62,0.3,0.45,0,1.32,0,19.42,23.6,0.1,0.02,0.64,0.31,0.1,23.6,18.73,Indian Nutrient Databank (INDB)
Curd with potatoes (Dahi aloo),10341,Others,Curries (Gravy & Dry),59.9,7.15,1.56,2.72,1.19,87.38,36.36,43.34,15.87,51.99,259.27,0.47,0.05,0.56,0.16,0.25,3.69,1.11,0,5.75,11.79,0.04,0.04,0.47,0.24,0.07,11.79,11.32,Indian Nutrient Databank (INDB)
Potato kofta curry (Aloo kofta curry),10342,Others,Curries (Gravy & Dry),455.4,2.78,0.56,49.08,0.56,47.02,7.77,13.24,6.9,30.12,97.57,0.26,0.03,0.33,0.12,0.09,5.25,24,0,5.74,4.76,0.01,0.01,0.19,0.09,0.03,4.76,4.57,Indian Nutrient Databank (INDB)
Yam kofta curry (Zimikand/Suran kofta curry),10343,Others,Curries (Gravy & Dry),322.88,3.75,0.71,33.84,1.04,60.66,8.35,15.2,8.55,42.22,109.02,0.31,0.05,0.38,0.1,0.11,7.14,16.51,0.01,6.05,5.79,0.01,0.01,0.16,0.1,0.05,5.79,4.81,Indian Nutrient Databank (INDB)
Jackfruit kofta curry (Kathal ka kofta curry),10344,Others,Curries (Gravy & Dry),321.08,3.17,0.8,33.83,0.96,61.24,11.36,10.97,8.78,40.04,79.59,0.24,0.05,0.29,0.14,0.08,7.14,16.46,0.01,11.08,8.43,0.02,0.01,0.14,0.08,0.05,8.43,3.66,Indian Nutrient Databank (INDB)
Spinach and potato (Palak aloo),10345,Others,Curries (Gravy & Dry),57.17,5.91,1.63,2.82,2.04,87.6,43.67,31.34,49.44,62.46,457.28,1.59,0.12,1.15,0.63,0.33,0,1.81,0,150.69,72.22,0.1,0.05,0.51,0.25,0.12,72.22,23.49,Indian Nutrient Databank (INDB)
Mooli bhujia,10346,Others,Sides,91.2,4.74,1.69,7.25,2.36,83.96,131.88,41.21,40.41,89.73,282.6,2.37,0.18,16.74,0.73,0.38,0,0.08,0,96.46,38.24,0.04,0.08,0.41,0.16,0.13,38.24,40.71,Indian Nutrient Databank (INDB)
Bathua bhujia,10347,Others,Sides,90.9,3.63,2.26,7.29,3.8,83.02,165.84,36.77,43.74,81.99,387.93,2.36,0.1,1.12,1.45,0.82,0,0.23,0,171.93,36.12,0.05,0.39,0.5,0.36,0.16,36.12,33.57,Indian Nutrient Databank (INDB)
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),10348,Others,Sides,142.48,6.09,8.21,9.36,1.84,74.5,31.54,92.25,20.93,118.05,252.57,0.98,0.08,1.19,0.28,1.43,24.85,1.34,0,43.53,22.86,0.07,0.09,1.94,0.5,0.15,22.86,15.26,Indian Nutrient Databank (INDB)
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),10349,Others,Curries (Gravy & Dry),124.63,7.03,5.76,8.17,2.35,76.69,29.82,75.47,26.41,123.98,425.86,0.95,0.14,0.93,0.33,0.98,14.19,3.2,0,26.14,23.38,0.25,0.08,1.89,0.33,0.16,23.38,18.48,Indian Nutrient Databank (INDB)
Masala arbi,10350,Others,Sides,185.38,16.16,3.01,11.9,3.1,65.83,32.08,74.02,35.19,261.31,467.53,0.99,0.27,0.29,0.47,0.4,0,6.02,0,3.95,17.32,0.05,0.03,0.51,0.11,0.16,17.32,1.63,Indian Nutrient Databank (INDB)
Peas brinjal bhartha (Matar baingan bhartha),10351,Others,Curries (Gravy & Dry),84.55,5.02,2.05,6.05,3.63,83.25,19.63,33.02,22,63.65,224.01,0.63,0.11,0.23,0.21,0.32,0,2.92,0,19.01,31.52,0.08,0.07,0.59,0.32,0.09,31.52,10.65,Indian Nutrient Databank (INDB)
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),10352,Others,Sides,110.81,4.5,1.83,9.27,3.57,80.83,67.88,49.02,52.6,92.78,233.03,0.88,0.12,0.81,0.29,0.41,0,4.82,0,17.16,51.27,0.04,0.05,0.53,0.26,0.22,51.27,17.48,Indian Nutrient Databank (INDB)
Crispy okra/Crispy lady's fingers (Karare bhindi),10353,Others,Sides,657.76,4.35,1.91,70.4,1.75,21.59,27.61,27.93,20.56,40.42,90.14,0.56,0.06,0.48,0.18,0.21,0,34.73,0,10.35,26.27,0.04,0.03,0.29,0.14,0.09,26.27,5.29,Indian Nutrient Databank (INDB)
Beans foogath,10354,Others,Sides,105.06,3.26,2.03,9.22,4.15,81.34,44.2,42.52,30.98,81.22,259.29,0.95,0.1,0.42,0.29,0.35,0,3.03,0,16.08,47.5,0.04,0.04,0.6,0.23,0.32,47.5,3.51,Indian Nutrient Databank (INDB)
Stuffed bittergourd (wet) (Bharwa karele),10355,Others,Curries (Gravy & Dry),162.36,4.68,1.36,15.24,2.86,75.86,17.25,34.61,24.19,360.09,246.15,0.91,0.09,2.79,0.35,0.35,0,7.43,0,4.99,40.3,0.04,0.03,0.28,0.25,0.06,40.3,29.99,Indian Nutrient Databank (INDB)
Yam fried (Zimikand/Suran fried),10356,Others,Sides,491.76,5.47,0.79,51.79,1.44,40.51,8.11,17.62,11.35,37.07,151.93,0.43,0.08,0.17,0.12,0.13,0,25.58,0,8.06,7.36,0.02,0.01,0.22,0.12,0.06,7.36,6.27,Indian Nutrient Databank (INDB)
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",10357,Others,Sides,95.67,8.23,2.75,5.54,3.26,80.22,21.05,40.55,25.64,86.29,305.3,0.98,0.11,0.66,0.35,0.45,0,2.69,0,20.49,31.4,0.09,0.03,0.7,0.43,0.12,31.4,27.98,Indian Nutrient Databank (INDB)
Vegetable jalfrezi,10358,Others,Curries (Gravy & Dry),68.48,5.43,1.4,4.38,2.97,85.82,27.11,33.26,22.88,79.46,270.92,0.68,0.08,0.62,0.3,0.24,0,2.1,0,32.6,28.31,0.05,0.04,0.58,0.24,0.14,28.31,25.93,Indian Nutrient Databank (INDB)
Vegetables stir fry ,10359,Others,Sides,30.78,3.19,1.04,1.47,1.37,92.93,13.3,15.82,8.61,55,115.07,0.34,0.04,0.27,0.1,0.21,0,0.8,0,18.73,15.94,0.04,0.02,0.24,0.18,0.05,15.94,9.82,Indian Nutrient Databank (INDB)
Broccoli delight,10360,Others,Sides,40.7,2.34,2.49,2.48,2.83,89.86,26.99,48,17.1,59.26,257.82,0.71,0.06,0.97,0.18,0.4,0,0.89,0,99.73,48.94,0.09,0.08,0.59,0.32,0.08,48.94,39.6,Indian Nutrient Databank (INDB)
Dhansak (vegetarian),10361,Others,Curries (Gravy & Dry),82.8,7.28,3.32,4.18,4.17,81.05,26.4,57.86,28.3,34.18,264.5,1.26,0.18,3.62,0.33,0.5,0,1.56,0,19.64,18.72,0.06,0.04,0.47,0.23,0.08,18.72,5.5,Indian Nutrient Databank (INDB)
Cauliflower basket,10362,Others,Sides,90.95,3.97,5.21,5.88,2.4,82.54,100.19,143.16,20.59,194.22,258.16,0.92,0.05,5.12,0.17,0.65,68.29,0.29,0.09,10.46,36.64,0.04,0.11,0.24,0.66,0.11,36.64,29.63,Indian Nutrient Databank (INDB)
Stuffed bottle gourd (Stuffed ghiya/lauki),10363,Others,Curries (Gravy & Dry),93.19,4.36,5.84,5.8,1.18,82.82,71.83,115.29,13.73,106.99,149.44,0.66,0.05,4.49,0.1,0.91,47.15,0.23,0.06,2.21,26.17,0.05,0.07,0.83,0.57,0.07,26.17,2.54,Indian Nutrient Databank (INDB)
Ducheese potato,10364,Others,Sides,140.54,10.94,3.6,9.01,1.29,75.16,18.1,67.45,20.3,103.85,423.33,0.76,0.08,7.92,0.12,0.44,119.63,0.48,0.15,2.44,20.28,0.05,0.05,0.78,0.55,0.1,20.28,16.84,Indian Nutrient Databank (INDB)
Roast potatoes ,10365,Others,Sides,87.32,14.52,1.53,2.35,1.71,79.89,10.38,42.96,23.89,90.67,528.24,0.57,0.09,0.75,0.15,0.28,24.79,0.11,0,2.53,15.08,0.06,0.01,1.01,0.37,0.1,15.08,22.46,Indian Nutrient Databank (INDB)
Stuffed baked potatoes ,10366,Others,Sides,100.2,11.03,3.82,4.39,1.31,79.45,25.72,71.59,20.95,92.09,429.14,0.81,0.08,7.94,0.12,0.46,70.47,0.38,0.15,4.94,22.35,0.06,0.06,0.78,0.56,0.11,22.35,18.04,Indian Nutrient Databank (INDB)
Potato nests,10367,Others,Sides,111.62,11.05,5.71,4.77,2.49,75.98,55.25,110.19,25.91,182.12,341.01,0.87,0.12,3.25,0.21,0.75,47.06,0.25,0.03,14.51,25.88,0.17,0.06,1.29,0.54,0.15,25.88,19.57,Indian Nutrient Databank (INDB)
Parsley potato,10368,Others,Sides,119.51,13.81,1.49,6.28,1.59,76.83,11.43,42.08,22.56,4.62,502.76,0.55,0.08,0.74,0.13,0.27,70.64,0.19,0,3.98,15.2,0.06,0.01,0.96,0.35,0.09,15.2,21.95,Indian Nutrient Databank (INDB)
Fricassee of Mushroom,10369,Others,Sides,106.66,8.13,3.65,6.63,1.23,80.36,84.97,95.57,12.24,118.98,151.77,0.36,0.05,0.94,0.11,0.36,59.27,0.21,0,6.17,13.34,0.04,0.08,0.34,0.3,0.07,13.34,14.13,Indian Nutrient Databank (INDB)
Cauliflower au gratin,10370,Others,Sides,145.9,9.13,4.45,10.2,1.44,74.78,119.69,126.89,15.99,164.96,181.3,0.57,0.05,1.48,0.14,0.53,91.28,0.29,0,5.18,20.68,0.05,0.1,0.28,0.41,0.07,20.68,14.91,Indian Nutrient Databank (INDB)
Beetroot and egg salad (Chukandar aur ande ka salad),10371,Others,Sides,84.92,3.4,3.36,6.45,0.55,86.24,18.13,48.27,6.48,110.12,66.99,0.55,0.04,9.27,0.06,0.35,44.49,0.35,0.19,4.43,18.49,0.02,0.05,0.09,0.39,0.06,18.49,2.7,Indian Nutrient Databank (INDB)
Tossed green salad,10372,Others,Sides,49.88,3.82,1.33,3.24,1.33,90.28,33.71,27.5,19.14,65.09,211.22,1.27,0.06,1.4,0.19,0.28,0,0.05,0,41.19,34.85,0.04,0.04,0.34,0.15,0.1,34.85,26.72,Indian Nutrient Databank (INDB)
Spring basket salad,10373,Others,Sides,160.46,11.61,3.36,11.3,3.09,70.64,45.65,51.17,20.75,26.02,252.19,0.85,0.08,2.73,0.25,0.59,11.14,3.72,0,99.46,52.16,0.1,0.08,0.71,0.52,0.13,52.16,33.71,Indian Nutrient Databank (INDB)
Chicken and tomato towers,10374,Others,Sides,100.55,2.36,6.9,6.99,1.14,82.61,17.54,66.9,17.28,76.02,212.83,0.77,0.12,6.03,0.11,0.36,6.41,1.43,0.39,21.13,18.74,0.06,0.04,2.59,0.47,0.21,18.74,21.47,Indian Nutrient Databank (INDB)
Jellied sunshine fruit salad,10375,Others,Desserts,48.86,4.21,5.85,0.85,1.8,87.29,37.14,25.75,17.23,74.2,144.01,0.87,0.08,2.35,0.41,0.22,0,0.16,0,22.58,15.17,0.03,0.03,0.11,0.12,0.07,15.17,11.57,Indian Nutrient Databank (INDB)
Tomato aspic,10376,Others,Sides,50.37,5.02,6.87,0.26,1.58,86.27,44.28,26.75,20.76,98.17,192.77,1.18,0.08,3.04,0.34,0.23,0,0.11,0,35.48,18.34,0.04,0.04,0.36,0.17,0.07,18.34,16.86,Indian Nutrient Databank (INDB)
Frozen frosty fruit salad (Phalon ka salaad),10377,Others,Desserts,103.51,15.61,1.68,4.17,0.26,78.28,28.61,34.43,7.96,13.23,103.47,0.41,0.04,1.81,0.08,0.23,64.7,0.17,0.04,0.64,8.97,0.03,0.06,0.22,0.19,0.04,8.97,14.36,Indian Nutrient Databank (INDB)
Curd dressing ,10378,Others,Sides,78.8,8.03,5.59,2.9,0.22,83.26,194.59,164.76,19.93,204.62,283.26,0.18,0.01,2,0.04,0.69,26.77,0.06,0,1.66,18.84,0.06,0.26,0.2,0.5,0.11,18.84,2.55,Indian Nutrient Databank (INDB)
Carrot raita (Gajar ka raita),10379,Others,Sides,64.78,7.19,4.14,2.19,1.69,84.79,146.72,126.28,22.13,274.46,293.77,0.55,0.05,1.4,0.15,0.57,17.76,0.12,0,10.71,20.3,0.06,0.19,0.24,0.43,0.11,20.3,4.92,Indian Nutrient Databank (INDB)
Pumpkin raita (Kaddu ka raita),10380,Others,Sides,55.6,6.02,3.74,1.88,1.04,87.32,130.11,109.33,17.42,129.14,258.97,0.33,0.03,1.34,0.07,0.47,16.47,0.22,0,28.96,18.64,0.05,0.17,0.27,0.36,0.09,18.64,4.18,Indian Nutrient Databank (INDB)
Mint and peanut raita (Pudinay aur moongfali ka raita),10381,Others,Sides,112.05,7.31,7.05,6.19,1.79,77.66,191.01,172.07,48.55,223.01,365.46,1.68,0.12,3.41,0.38,0.92,21.03,0.21,0,26.26,33.23,0.07,0.24,1.27,0.55,0.15,33.23,4.55,Indian Nutrient Databank (INDB)
