Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Split bengal gram sweet rice (Channa dal sweet rice),10240,Others,Desserts,190.21,41.07,4.15,0.64,2.23,51.91,30.37,78.3,42.94,8.38,230.18,1.77,0.15,4.9,0.5,0.68,0,0.05,0,0.48,22.03,0.08,0.03,0.75,0.32,0.23,22.03,0,Indian Nutrient Databank (INDB)
Sweet poori (Meethi poori),10241,Others,Snacks,782.75,14.26,2.12,79.63,1.54,2.45,34.24,51.5,27.8,2.57,82.77,1.13,0.09,4.92,0.39,0.45,0,38.86,0,7.11,12.05,0.06,0.02,0.32,0.14,0.1,12.05,0,Indian Nutrient Databank (INDB)
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),10242,Others,Desserts,441.08,60,9.84,18.41,6.02,5.73,25.2,206.76,84.57,5.25,396.48,2.3,0.44,25.05,1.19,1.62,131.71,1.35,0,2.25,34.55,0.24,0.08,2.11,0.66,0.13,34.55,0,Indian Nutrient Databank (INDB)
Spinach burfi (Palak burfi),10243,Others,Desserts,121.17,12.76,2.71,6.81,1.17,76.55,93.68,70.87,33.14,27.77,268.78,1.05,0.1,1.89,0.43,0.38,21.16,0.8,0,93.35,45.48,0.06,0.09,0.16,0.26,0.07,45.48,9.84,Indian Nutrient Databank (INDB)
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),10244,Others,Mains,366.59,62.66,9.51,7.93,8.16,11.74,53.3,229.38,112.97,12.05,462.11,4.36,0.4,34.43,1.91,2.15,58.3,0.53,0,0.98,51.83,0.27,0.1,1.47,0.77,0.35,51.83,0,Indian Nutrient Databank (INDB)
Sprouted moong daliya ,10245,Others,Mains,111.56,14.77,2.81,4.71,3.12,74.59,22.62,19,9.46,196.73,83.92,1.29,0.04,0.1,0.1,0.16,0,2.15,0,4.35,11.15,0.03,0.01,0.15,0.13,0.05,11.15,2.38,Indian Nutrient Databank (INDB)
Sprouted moong poha ,10246,Others,Mains,192.6,26.6,5.59,6.89,3.13,57.79,28.39,116.24,55.63,220.82,268.06,2.43,0.21,1.01,0.54,0.93,0,1.55,0,8.1,24.46,0.13,0.04,1.95,0.41,0.1,24.46,10.05,Indian Nutrient Databank (INDB)
Pearl millet ladoo (Bajra ladoo),10247,Others,Desserts,319.66,50.98,9.61,8.06,6,25.35,118.74,224.22,125.58,12.26,479.32,4.72,0.44,15.04,0.89,1.87,0,0.62,0,7.47,40.21,0.19,0.08,1.83,0.51,0.37,40.21,0,Indian Nutrient Databank (INDB)
Paushtik ladoo,10248,Others,Desserts,485.87,60.34,7.65,24.98,4.57,2.46,20.67,123.82,47.46,6.09,161,1.63,0.22,10.44,0.94,1.04,197.57,2.04,0,2.04,46.17,0.2,0.07,1.57,0.45,0.14,46.17,0,Indian Nutrient Databank (INDB)
Paushtik roti,10249,Others,Mains,149.26,26.59,7.17,1.51,5.74,58.99,52.74,127.75,77.03,170.96,403.44,2.62,0.25,13.87,1.44,1.15,0,0.97,0,129.24,98.04,0.24,0.1,1.06,0.54,0.21,98.04,15.48,Indian Nutrient Databank (INDB)
Semolina carrot vada (Suji gajar vada),10250,Others,Snacks,699.53,6.52,1.56,74.07,1.07,16.78,26.47,30.73,6.35,73.17,73.02,0.36,0.05,1.07,0.17,0.26,3.01,36.33,0,6.15,5.75,0.03,0.03,0.13,0.13,0.03,5.75,0.59,Indian Nutrient Databank (INDB)
Dhokla,10251,Others,Snacks,216.49,30.68,13.45,5.28,4.95,45.64,123.21,185.94,40.51,376.02,287.15,1.39,0.13,2.93,0.86,1.05,13.14,1.85,0,6.7,99.92,0.24,0.21,1.01,0.83,0.27,99.92,1.71,Indian Nutrient Databank (INDB)
Kashmiri tea (Kehwa),10252,Beverages,Beverages,24.9,5.23,0.17,0.51,0.16,93.93,3.19,4.13,3.47,0.29,8.81,0.07,0.02,0.05,0.1,0.04,0,0.22,0,0.09,0.32,0,0,0.03,0.01,0,0.32,0.02,Indian Nutrient Databank (INDB)
Steeped hot coffee,10253,Beverages,Beverages,15.91,3.01,0.39,0.33,0,96.27,10.4,10.26,3.93,2.82,46.09,0.06,0.01,0.16,0.02,0.04,0,0.02,0,0.04,0.63,0,0.01,0.25,0.03,0,0.63,0.15,Indian Nutrient Databank (INDB)
Hot chocolate,10254,Beverages,Beverages,90.01,9.02,3.43,4.61,0,82.94,113.63,101.74,14.99,36.04,135.43,0.33,0.22,0.91,0.06,0.61,0.04,0.23,0,0.01,7.04,0.03,0.11,0.11,0.34,0.04,7.04,1.9,Indian Nutrient Databank (INDB)
Flavoured milkshake,10255,Beverages,Beverages,66.78,8.65,2.06,2.83,0,86.46,75.05,61.04,5.33,16.34,72.89,0.11,0.03,0.6,0.01,0.21,0,0.14,0,0,4.44,0.02,0.07,0.05,0.21,0.03,4.44,1.27,Indian Nutrient Databank (INDB)
Jal jeera,10256,Beverages,Beverages,30.24,6.7,0.44,0.26,0.95,91.65,24.72,11.3,12.89,215.62,76.31,0.84,0.05,0.4,0.34,0.11,0,0.04,0,5.79,3.2,0.02,0.01,0.13,0.02,0.02,3.2,1.59,Indian Nutrient Databank (INDB)
Gingo,10257,Beverages,Beverages,48.02,12.42,0.14,0.06,0.17,87.21,6.33,2.31,3.35,21.5,20.82,0.21,0.02,0.22,0.06,0.03,0,0.02,0,3.69,2.92,0,0,0.02,0.02,0.01,2.92,2.88,Indian Nutrient Databank (INDB)
Mintade,10258,Beverages,Beverages,40.32,10.59,0.03,0.02,0.03,89.33,2.1,0.64,0.85,26.69,6,0.05,0.01,0.05,0.01,0.01,0,0,0,0.77,0.82,0,0,0.01,0.01,0,0.82,1.49,Indian Nutrient Databank (INDB)
Canjee,10259,Beverages,Beverages,6.61,0.44,0.24,0.42,0.36,98.54,5.82,9.26,3.57,43.03,21.2,0.17,0.01,0.71,0.05,0.05,0,0.02,0,1.03,2.12,0.01,0.01,0.05,0.02,0.01,2.12,0.3,Indian Nutrient Databank (INDB)
Cauliflower canjee (Phoolgobhi ki canjee),10260,Beverages,Beverages,6.9,0.35,0.39,0.42,0.49,98.35,6.26,11.23,4.78,41.45,38.17,0.22,0.01,0.71,0.06,0.07,0,0.02,0,1.46,5.19,0.01,0.01,0.07,0.06,0.02,5.19,4.4,Indian Nutrient Databank (INDB)
Potato canjee (Aloo canjee),10261,Beverages,Beverages,16.26,2.69,0.44,0.39,0.43,96.05,5.21,13.64,6.51,35.99,99.19,0.22,0.02,0.74,0.06,0.08,0,0.02,0,0.48,3.47,0.02,0,0.21,0.07,0.02,3.47,3.95,Indian Nutrient Databank (INDB)
Vermicelli porridge (Semiya/Seviyan porridge),10262,Others,Mains,78.4,10.56,2.5,2.98,0.48,83.48,72.96,63.88,7.15,65.33,78.84,0.2,0.03,1.3,0.04,0.25,2.33,0.15,0,0.05,4.92,0.02,0.07,0.08,0.23,0.03,4.92,1.22,Indian Nutrient Databank (INDB)
Semolina upma (Suji/Rava upma),10263,Others,Mains,147.89,16.31,3.3,7.49,3.24,69.66,21.57,44.18,21.34,101.59,158.35,1.1,0.14,3.21,0.59,0.59,0,3.57,0,10.17,14.24,0.08,0.03,0.43,0.28,0.07,14.24,4.37,Indian Nutrient Databank (INDB)
